발생원인_기타,피해면적_합계,화재시간,latitude ,longitude,기온,풍속,습도,강수량,임목존재코드,임종코드,임상코드,수종그룹코드,ta,ws,hm,pa,pv,td,ts,dc10Tca,dc10LmcsCa,시도,시군구,읍면동리,피해금액
793,0.0953101798043248,1.0,35.63172222222222,126.29002222222222,14.4,16.2,74.0,0.0,1.0,2.0,2.0,30.0,18.5,0.9,53.0,1010.9,11.2,8.7,27.7,6.0,3.0,경기,파주,적성,9076598
646,0.1823215567939546,1.0,36.46552777777778,127.66972777777778,14.3,19.8,60.0,1.0,1.0,2.0,2.0,34.0,15.5,3.3,48.0,1010.4,8.4,4.5,16.4,10.0,9.0,전남,보성,겸백,14167634
767,0.048790164169432,1.0,36.158275,129.3741527777778,17.4,16.6,73.0,0.0,1.0,2.0,3.0,77.0,23.0,5.5,50.0,1010.1,14.0,12.0,35.2,7.0,2.0,경기,가평,설악,6354712
573,0.009950330853168,0.0,35.12105277777778,128.8707,17.6,15.1,66.0,0.0,1.0,2.0,2.0,34.0,21.3,3.8,66.0,1006.7,16.6,14.6,26.4,0.0,0.0,경기,포천,이동,4082193
470,0.1222176327242492,1.0,37.84230277777778,126.8922,16.3,16.9,41.0,0.0,1.0,2.0,1.0,15.0,21.7,3.2,41.0,1002.9,10.6,7.8,27.0,6.0,0.0,강원,영월,북,10650953
352,0.1397619423751587,2.0,37.62201666666667,127.4028888888889,16.8,9.4,46.0,0.0,1.0,1.0,1.0,14.0,24.6,1.0,31.0,1013.6,9.5,6.3,52.0,0.0,0.0,대구,남,대명,11677471
551,0.048790164169432,1.0,36.779741666666666,127.73795,16.8,10.1,53.0,0.0,1.0,2.0,2.0,30.0,23.0,1.7,35.0,1012.9,9.8,6.7,41.7,0.0,0.0,경기,동두천,광암,6354712
846,0.0953101798043248,1.0,35.453950000000006,128.0389277777778,15.8,9.0,60.0,0.0,1.0,2.0,1.0,15.0,11.9,0.9,81.0,1009.8,11.2,8.7,10.1,0.0,0.0,전남,곡성,옥과,9076598
352,0.5877866649021191,9.0,37.54686111111111,127.45604722222222,15.1,17.3,47.0,0.0,1.0,2.0,1.0,11.0,18.2,0.7,49.0,1014.3,10.2,7.2,14.7,0.0,0.0,전북,진안,상전,41891397
270,0.009950330853168,1.0,34.71608888888889,127.06964166666668,13.2,12.6,54.0,0.0,2.0,0.0,0.0,82.0,21.7,1.8,32.0,1010.7,8.2,4.2,34.2,0.0,0.0,경기,고양,덕양,4082193
1051,0.916290731874155,1.0,36.29046388888889,127.54201111111112,11.5,18.4,52.0,0.0,1.0,2.0,1.0,11.0,21.2,2.9,24.0,1010.6,6.1,-0.1,27.5,0.0,0.0,강원,강릉,죽헌,69112170
859,0.2151113796169455,2.0,37.06974722222223,129.0032111111111,9.2,20.9,59.0,0.0,1.0,2.0,1.0,11.0,15.5,10.7,33.0,926.6,5.8,-0.7,21.0,3.0,0.0,경남,산청,단성,16086166
270,0.009950330853168,1.0,36.95530555555556,128.63254444444445,13.2,19.1,61.0,0.0,1.0,2.0,3.0,77.0,21.5,2.7,29.0,1001.1,7.4,2.6,33.2,0.0,0.0,충북,청주,상당,4082193
759,0.8919980393051105,3.0,35.84959444444445,128.21675555555555,11.2,6.5,49.0,0.0,1.0,2.0,2.0,34.0,17.0,1.6,48.0,1014.1,9.2,5.8,27.9,0.0,0.0,강원,횡성,둔내,63690805
352,0.5877866649021191,3.0,37.67157222222222,127.42791111111111,11.8,19.1,52.0,0.2,1.0,1.0,1.0,18.0,17.8,2.0,27.0,1007.8,5.5,-1.4,20.6,5.0,1.0,경북,포항,남,41891397
990,0.009950330853168,2.0,36.88976666666667,128.91594444444445,9.8,14.4,61.0,1.7,1.0,2.0,2.0,32.0,19.8,0.7,26.0,1004.9,6.0,-0.2,24.9,6.0,6.0,경기,양평,서종,4082193
352,0.0676586484738148,1.0,37.52719722222222,127.46879166666668,10.9,27.7,60.0,0.0,1.0,2.0,1.0,11.0,18.9,4.6,22.0,1006.5,4.8,-3.3,36.3,0.0,0.0,충남,당진,정미,7458707
793,0.262364264467491,2.0,36.14883888888889,127.40217222222223,11.1,25.1,67.0,0.0,2.0,0.0,0.0,82.0,18.4,1.9,21.0,1006.1,4.4,-4.3,35.4,1.0,1.0,강원,강릉,주문진,18850933
492,0.262364264467491,3.0,37.91681944444444,126.9734888888889,11.7,26.3,41.0,0.0,1.0,2.0,3.0,77.0,18.8,6.5,25.0,997.8,5.4,-1.6,36.8,0.0,0.0,충남,아산,탕정,18850933
492,0.5007752879124893,2.0,34.780052777777776,127.06211666666668,12.5,17.3,66.0,0.0,1.0,2.0,2.0,34.0,18.3,1.6,29.0,1006.4,6.1,0.0,31.2,0.0,0.0,경북,봉화,재산,36800362
352,0.009950330853168,1.0,37.657919444444445,127.466275,15.9,14.2,43.0,0.0,1.0,2.0,2.0,34.0,10.3,4.2,86.0,929.9,10.7,8.0,20.2,10.0,9.0,대전,대덕,신탄진,4082193
352,0.1484200051182732,4.0,38.03791111111111,127.34306111111113,17.6,24.8,57.0,7.9,1.0,1.0,1.0,14.0,29.5,2.8,31.0,986.8,12.7,10.5,52.5,0.0,0.0,경기,양주,광적,12184054
352,0.048790164169432,2.0,37.268563888888885,128.48957222222222,17.9,9.0,54.0,0.0,1.0,2.0,1.0,11.0,20.4,3.1,49.0,923.2,11.7,9.3,22.7,10.0,4.0,충북,영동,학산,6354712
767,0.009950330853168,1.0,35.84088333333334,128.55847222222224,20.7,17.6,57.0,2.1,1.0,2.0,2.0,34.0,28.0,1.1,28.0,1003.6,10.5,7.7,37.0,8.0,0.0,전북,순창,풍산,4082193
352,0.0953101798043248,1.0,37.87560555555556,127.04554166666668,17.7,9.0,66.0,1.4,1.0,1.0,1.0,14.0,22.6,0.8,67.0,996.7,18.3,16.1,31.2,10.0,0.0,강원,춘천,서,9076598
492,1.791759469228055,6.0,35.33793055555556,127.18107222222224,18.8,11.2,65.0,11.2,1.0,2.0,2.0,34.0,25.4,1.2,40.0,1003.2,12.9,10.8,29.5,10.0,0.0,경북,경주,건천,128335846
793,0.0582689081239757,1.0,35.824963888888895,127.50148333333334,17.8,10.8,54.0,6.2,1.0,2.0,2.0,34.0,25.4,1.2,40.0,1003.2,12.9,10.8,29.5,10.0,0.0,강원,양양,현북,6909313
767,0.009950330853168,2.0,37.67583333333333,126.89750833333332,18.7,9.4,61.0,1.5,1.0,2.0,2.0,34.0,21.3,1.7,68.0,1002.9,17.2,15.1,31.1,10.0,0.0,경북,영주,이산,4082193
352,0.0582689081239757,1.0,37.76466944444444,128.89466388888889,17.7,13.7,52.0,0.0,1.0,2.0,3.0,77.0,15.6,3.5,59.0,924.2,10.4,7.6,11.8,6.0,1.0,충남,공주,신풍,6909313
793,0.009950330853168,2.0,35.26732222222222,127.90055833333334,19.7,10.5,66.0,0.0,1.0,2.0,2.0,30.0,28.7,2.6,35.0,1001.1,13.7,11.7,30.7,0.0,0.0,충남,서산,해미,4082193
793,0.0953101798043248,1.0,36.63571666666667,127.68719722222222,18.3,13.3,61.0,0.0,1.0,2.0,2.0,30.0,25.3,1.8,38.0,1002.1,12.2,9.9,41.4,0.0,0.0,충남,홍성,장곡,9076598
352,0.0198026272961797,2.0,37.52903611111111,128.26705,16.1,13.0,57.0,0.0,1.0,2.0,2.0,34.0,23.4,6.0,12.0,921.4,3.5,-7.6,34.2,1.0,0.0,강원,춘천,북산,4658651
767,0.009950330853168,1.0,36.04836111111111,129.35596944444444,18.7,11.9,61.0,0.0,1.0,2.0,1.0,11.0,27.2,1.8,37.0,1002.0,13.3,11.2,48.8,0.0,0.0,충남,부여,세도,4082193
352,0.1823215567939546,2.0,37.62201666666667,127.4028888888889,17.1,13.0,59.0,0.0,1.0,2.0,1.0,11.0,20.6,1.3,58.0,1006.7,14.0,12.0,46.0,3.0,1.0,경기,시흥,과림,14167634
448,0.0198026272961797,1.0,36.90191111111111,126.58656388888888,12.7,19.1,90.0,0.0,1.0,1.0,1.0,14.0,23.5,2.4,48.0,1004.1,13.8,11.8,39.9,2.0,2.0,강원,양구,양구,4658651
492,0.009950330853168,0.0,37.91424444444444,128.7863277777778,17.4,14.4,57.0,0.0,1.0,2.0,3.0,77.0,14.8,6.3,66.0,923.6,11.1,8.5,19.4,0.0,0.0,경남,창원,진해,4082193
793,0.009950330853168,1.0,36.80364444444445,127.07479722222222,15.6,6.5,53.0,0.0,1.0,2.0,2.0,34.0,22.3,1.6,38.0,1003.7,10.2,7.2,35.3,8.0,0.0,대구,달서,월성,4082193
782,0.048790164169432,2.0,36.84720277777778,128.95246666666665,14.3,11.8,51.0,0.0,1.0,1.0,1.0,15.0,25.0,3.0,35.0,1004.8,11.0,8.4,43.0,7.0,0.0,충남,부여,부여,6354712
757,0.009950330853168,1.0,36.4313,127.46255555555555,16.2,8.3,56.0,0.0,2.0,0.0,0.0,82.0,24.7,1.5,32.0,1002.8,9.9,6.8,38.8,8.0,0.0,대구,달성,옥포,4082193
767,0.009950330853168,1.0,37.799775,127.05725277777778,16.1,8.3,31.0,0.0,1.0,1.0,1.0,14.0,20.0,1.3,50.0,1000.1,11.6,9.2,40.7,6.0,0.0,경남,창녕,고암,4082193
1061,1.3402504226184837,2.0,36.110708333333335,127.68834166666667,16.7,7.9,56.0,0.0,1.0,2.0,1.0,11.0,18.7,1.9,70.0,1006.0,15.1,13.1,27.2,8.0,0.0,경기,남양주,조안,97918052
523,0.4700036292457355,4.0,35.35817222222222,127.13562777777778,16.8,10.4,65.0,0.1,2.0,0.0,0.0,82.0,17.3,0.9,74.0,1006.6,14.6,12.6,23.1,8.0,3.0,경기,남양주,화도,34999912
352,0.4700036292457355,5.0,37.898725,127.68844722222222,11.6,16.4,81.0,1.3,1.0,2.0,1.0,11.0,15.6,2.8,77.0,1001.8,13.6,11.5,13.6,2.8704119850187264,1.2687422166874225,충남,예산,삽교,34999912
573,0.5364933705145685,3.0,35.838747222222224,129.10736944444443,17.4,23.8,65.0,0.0,1.0,1.0,1.0,14.0,27.5,3.5,37.0,1001.7,13.6,11.5,42.7,2.0,2.0,전북,남원,운봉,38890227
352,4.268857936568243,22.0,38.076369444444445,128.60751944444445,15.5,32.2,64.0,0.0,1.0,2.0,2.0,34.0,13.747929869032532,2.8929839391377854,36.94338825517533,1000.5656738487536,6.483903675538657,-2.145099281791297,20.881297548605243,2.8704119850187264,1.2687422166874225,인천,강화,내가,309270877
760,1.3862943611198906,5.0,36.90347222222222,128.5615638888889,14.1,24.5,71.0,0.0,1.0,2.0,1.0,11.0,23.7,3.2,39.0,993.0,11.4,8.9,41.3,4.0,4.0,충남,청양,장평,100612083
449,0.6931471805599453,2.0,36.51109722222222,126.94781388888887,13.0,22.3,82.0,0.0,1.0,1.0,1.0,14.0,22.7,4.0,45.0,1002.8,12.4,10.1,34.5,7.0,7.0,전북,순창,풍산,52056041
771,0.0582689081239757,2.0,36.717019444444446,126.6031861111111,12.7,32.0,81.0,0.0,1.0,2.0,1.0,11.0,17.7,1.8,48.0,1004.3,9.7,6.5,21.6,3.0,3.0,대구,북,읍내,6909313
352,1.0986122886681096,15.0,36.63937222222222,126.545575,12.7,32.0,81.0,0.0,1.0,2.0,1.0,11.0,13.1,0.7,53.0,1004.9,8.0,3.7,11.1,1.0,0.0,전북,장수,산서,79779805
767,0.7514160886839211,4.0,37.88840833333333,127.73390833333332,13.5,21.6,48.0,0.0,1.0,2.0,1.0,11.0,22.0,3.3,30.0,1001.3,7.9,3.6,31.2,2.8704119850187264,1.2687422166874225,전북,남원,대산,55465355
767,0.1823215567939546,3.0,36.17656111111111,126.92153055555556,13.6,24.5,50.0,0.0,1.0,2.0,1.0,11.0,19.2,2.4,26.0,1006.1,5.8,-0.7,26.4,9.0,0.0,대구,달성,다사,14167634
124,0.3364722366212129,1.0,37.43071388888889,126.82565,14.2,25.2,43.0,0.0,1.0,1.0,1.0,14.0,19.4,1.9,25.0,999.1,5.6,-1.1,38.8,6.0,0.0,인천,서,검안,27186990
483,0.009950330853168,1.0,38.04270277777778,128.01122222222222,12.5,23.0,52.0,0.0,1.0,2.0,2.0,32.0,14.4,7.1,35.0,924.1,5.8,-0.8,20.8,8.0,8.0,울산,북,어물,4082193
793,0.4762341789963715,4.0,35.12660277777778,128.72514444444445,15.0,18.4,42.0,0.0,1.0,2.0,2.0,30.0,15.6,1.1,35.0,1011.4,6.2,0.1,13.9,1.0,0.0,전북,무주,무주,35364461
767,1.358409157630355,4.0,35.82940555555556,128.53779444444444,16.5,13.3,34.0,0.0,1.0,2.0,1.0,11.0,19.5,2.5,21.0,1004.6,4.8,-3.4,17.0,0.0,0.0,경남,하동,진교,98980519
767,0.0295588022415443,1.0,36.27750277777778,126.924675,13.1,19.8,55.0,0.0,2.0,0.0,0.0,82.0,23.5,2.9,18.0,1005.9,5.2,-2.2,32.0,0.0,0.0,경북,포항,남,5229485
791,1.430311246536665,16.0,35.76144444444444,128.50468055555555,16.5,13.3,34.0,0.0,1.0,2.0,2.0,30.0,26.4,2.3,17.0,1005.8,5.8,-0.6,39.9,2.0,0.0,전북,김제,금산,103187511
276,0.0953101798043248,1.0,35.511044444444444,128.5190138888889,16.2,16.9,36.0,0.0,1.0,2.0,2.0,34.0,25.1,3.6,18.0,1007.8,5.7,-0.9,44.5,0.0,0.0,경기,가평,청평,9076598
473,0.009950330853168,2.0,37.64460277777778,127.17907777777778,13.9,18.7,45.0,0.0,2.0,0.0,0.0,82.0,21.9,4.1,25.0,1004.8,6.5,0.9,46.9,0.0,0.0,전남,순천,송광,4082193
647,2.603430151972108,7.0,37.268563888888885,128.48957222222222,12.0,16.2,50.0,0.0,1.0,2.0,1.0,11.0,18.5,6.5,18.0,926.3,3.8,-6.3,29.8,0.0,0.0,강원,인제,남,187826698
270,1.029619417181158,5.0,37.67588055555555,127.34664444444444,13.7,16.9,50.0,0.0,1.0,2.0,1.0,11.0,18.9,3.1,35.0,1006.9,7.6,3.0,41.9,0.0,0.0,전남,화순,화순,75743032
573,0.5306282510621704,6.0,36.660894444444445,126.703175,13.4,16.6,52.0,0.0,1.0,2.0,1.0,11.0,16.7,1.4,34.0,1011.0,6.4,0.7,27.7,0.0,0.0,경북,군위,부계,38547058
371,0.1397619423751587,1.0,35.44804166666666,127.53379444444444,14.5,13.3,41.0,0.0,1.0,1.0,1.0,13.0,17.2,1.0,31.0,1011.3,6.1,-0.1,23.0,0.0,0.0,전남,보성,검백,11677471
270,0.524728528934982,3.0,37.71073333333334,126.42698333333334,13.1,19.1,55.0,0.0,1.0,1.0,2.0,49.0,16.1,3.7,55.0,1008.5,10.0,7.0,30.2,0.0,0.0,대구,북,구암,38201866
793,0.6931471805599453,2.0,36.35211666666667,126.87683055555554,13.2,15.8,47.0,0.0,1.0,2.0,2.0,34.0,23.7,2.8,20.0,1008.2,5.8,-0.6,33.1,0.0,0.0,경기,양평,용문,52056041
233,0.0953101798043248,1.0,35.31409444444444,127.15405,15.0,17.6,39.0,0.0,1.0,2.0,2.0,34.0,21.7,2.9,26.0,1010.1,6.7,1.3,33.9,0.0,0.0,충남,예산,대술,9076598
783,0.1397619423751587,1.0,35.949688888888886,128.54930833333333,15.9,13.7,36.0,0.0,1.0,1.0,1.0,14.0,17.4,3.6,61.0,1016.0,12.0,9.7,42.4,1.0,0.0,강원,춘천,남산,11677471
793,0.0953101798043248,2.0,35.612833333333334,127.39866111111112,14.1,16.6,41.0,0.0,1.0,2.0,1.0,11.0,21.6,2.3,25.0,1010.6,6.4,0.7,32.9,0.0,0.0,경기,양주,은현,9076598
270,0.009950330853168,1.0,35.482686111111114,127.39020833333332,15.0,17.3,38.0,0.0,1.0,2.0,3.0,77.0,14.9,0.4,37.0,1011.9,6.2,0.3,17.3,3.0,0.0,전남,영암,미왕,4082193
793,0.0295588022415443,1.0,35.851641666666666,128.45978888888888,15.3,11.2,32.0,0.0,1.0,2.0,3.0,77.0,23.2,3.3,22.0,1008.3,6.2,0.2,30.6,1.0,0.0,경기,안양,만안,5229485
793,0.0295588022415443,1.0,37.46149444444445,126.66489166666668,12.0,13.7,67.0,0.0,1.0,2.0,3.0,77.0,23.2,3.3,22.0,1008.3,6.2,0.2,30.6,1.0,0.0,전북,장수,산서,5229485
767,0.009950330853168,4.0,35.52175277777778,129.327075,15.4,7.2,34.0,0.0,1.0,1.0,1.0,14.0,21.5,5.2,23.0,1014.4,5.9,-0.5,34.9,4.0,1.0,전남,순천,주암,4082193
355,0.4700036292457355,2.0,36.01877222222222,127.66466944444446,13.0,9.1,40.0,0.0,2.0,0.0,0.0,82.0,20.9,2.8,21.0,1009.4,5.2,-2.2,27.2,3.0,0.0,충남,아산,영인,34999912
793,0.1823215567939546,1.0,35.029291666666666,127.907325,15.2,7.6,44.0,0.0,1.0,2.0,1.0,11.0,22.7,1.5,19.0,1009.6,5.2,-2.1,37.8,8.0,4.0,충남,공주,우성,14167634
767,0.1823215567939546,5.0,36.06265555555555,129.54831388888888,15.3,14.8,37.0,0.0,1.0,2.0,3.0,77.0,20.1,3.5,23.0,1011.7,5.4,-1.7,32.6,7.0,0.0,강원,홍천,서,14167634
793,0.300104592450338,16.0,35.83040833333334,126.90734166666668,12.0,15.8,51.0,0.0,1.0,2.0,2.0,30.0,17.2,2.5,27.0,1010.0,5.3,-1.9,16.4,3.0,0.0,전남,장성,장성,25059119
352,0.048790164169432,1.0,37.72955833333334,127.42266111111113,12.5,16.9,42.0,0.0,2.0,0.0,0.0,81.0,15.8,4.7,15.0,927.1,2.7,-10.8,16.1,0.0,0.0,경북,고령,다산,6354712
767,0.6931471805599453,6.0,35.026022222222224,127.23046944444444,13.8,12.3,35.0,0.0,1.0,2.0,1.0,11.0,21.1,2.0,18.0,1009.0,4.5,-4.1,42.7,0.0,0.0,경기,화성,봉담,52056041
1007,0.1823215567939546,2.0,38.04105,128.1636138888889,10.6,15.8,42.0,0.0,1.0,2.0,1.0,11.0,15.8,2.5,15.0,928.2,2.7,-10.8,27.0,0.0,0.0,경북,의성,단촌,14167634
793,0.1823215567939546,2.0,35.04023055555555,126.9916,12.3,16.6,37.0,0.0,1.0,2.0,1.0,11.0,18.6,1.4,23.0,1011.5,4.9,-2.9,38.9,0.0,0.0,충북,영동,추풍령,14167634
233,0.0953101798043248,2.0,36.22172777777778,128.5752138888889,13.0,17.3,35.0,0.0,1.0,2.0,1.0,11.0,14.4,2.3,31.0,1012.7,5.1,-2.5,22.2,0.0,0.0,경기,광주,태전,9076598
767,0.4700036292457355,2.0,34.780052777777776,127.06211666666668,12.3,13.3,52.0,0.0,1.0,2.0,3.0,77.0,19.0,2.6,26.0,1007.5,5.7,-0.9,37.0,0.0,0.0,강원,정선,남,34999912
695,0.009950330853168,1.0,35.868922222222224,128.51076111111112,12.2,7.6,49.0,0.0,1.0,2.0,1.0,11.0,15.9,6.1,44.0,1014.8,7.9,3.6,33.6,2.0,0.0,대구,달성,유가,4082193
352,0.0198026272961797,1.0,37.49064444444445,127.61720277777778,10.3,16.6,51.0,0.0,1.0,2.0,2.0,33.0,19.0,3.0,27.0,1011.6,5.9,-0.4,36.2,0.0,0.0,경북,영덕,영해,4658651
793,0.0769610411361283,0.0,36.61567222222222,126.90726666666669,11.5,19.4,50.0,0.0,1.0,2.0,3.0,77.0,17.1,1.8,32.0,1010.7,6.2,0.2,29.3,0.0,0.0,경남,양산,원동,8002990
352,0.0198026272961797,2.0,37.81221111111111,127.623125,9.7,10.4,60.0,0.0,1.0,2.0,1.0,15.0,17.9,3.1,35.0,1004.4,7.2,2.2,24.2,2.8704119850187264,1.2687422166874225,전북,무주,설천,4658651
371,0.009950330853168,1.0,37.87560555555556,127.04554166666668,11.2,15.1,46.0,0.1,1.0,1.0,1.0,14.0,18.8,2.2,30.0,1003.4,6.5,0.8,40.6,0.0,0.0,전남,광양,광양,4082193
767,0.262364264467491,2.0,34.67872222222222,126.60848055555554,13.5,24.6,68.0,0.0,1.0,1.0,2.0,49.0,12.8,3.8,55.0,1008.0,8.1,3.9,19.6,4.0,4.0,경기,광주,오포,18850933
270,0.009950330853168,1.0,37.42829166666667,126.8886138888889,16.4,16.6,77.0,0.3,2.0,0.0,0.0,81.0,17.0,2.6,85.0,1000.8,16.4,14.4,17.3,10.0,10.0,강원,양구,양구,4082193
371,0.0392207131532812,1.0,35.55981666666666,127.40804166666668,18.7,16.2,74.0,0.0,1.0,2.0,1.0,11.0,24.6,2.7,55.0,1001.8,16.9,14.9,30.6,0.0,0.0,경북,경주,양북,5794803
629,0.6931471805599453,2.0,35.072075000000005,127.2302777777778,19.5,12.2,78.0,0.0,1.0,2.0,2.0,34.0,28.5,2.9,44.0,1000.8,17.0,15.0,43.6,0.0,0.0,경남,거창,주상,52056041
767,0.048790164169432,1.0,36.84394722222223,126.93401666666666,17.3,20.6,78.0,0.3,1.0,2.0,2.0,30.0,27.6,2.9,29.0,1000.8,10.6,7.9,35.8,1.0,0.0,경기,안양,만안,6354712
793,0.1906203596086497,2.0,36.472425,127.09221944444444,17.7,19.8,77.0,0.1,2.0,0.0,0.0,82.0,27.6,2.9,29.0,1000.8,10.6,7.9,35.8,1.0,0.0,경기,광주,퇴촌,14653197
811,0.262364264467491,2.0,37.67265277777778,127.60167222222222,17.8,15.8,74.0,0.2,1.0,2.0,2.0,30.0,27.3,2.6,40.0,998.6,14.5,12.5,36.6,2.8704119850187264,1.2687422166874225,경기,양주,은현,18850933
793,0.262364264467491,1.0,35.28379722222222,126.78016944444444,19.8,19.1,75.0,0.0,1.0,2.0,1.0,11.0,25.3,3.0,53.0,1003.0,17.0,15.0,40.3,0.0,0.0,강원,화천,상서,18850933
96,2.3693087250369538,52.0,35.8037,128.3992861111111,19.8,15.8,76.0,0.0,1.0,2.0,3.0,77.0,13.747929869032532,2.8929839391377854,36.94338825517533,1000.5656738487536,6.483903675538657,-2.145099281791297,20.881297548605243,2.8704119850187264,1.2687422166874225,경기,파주,법원,170128253
407,0.2390169004704999,2.0,37.18911388888888,126.92743333333334,16.7,16.2,76.0,0.1,2.0,0.0,0.0,82.0,25.1,3.7,51.0,996.2,16.2,14.2,42.3,6.0,3.0,경기,고양,덕양,17484878
767,0.1397619423751587,1.0,36.44688611111111,128.65750555555556,18.1,11.2,55.0,0.0,1.0,2.0,2.0,33.0,25.7,4.0,49.0,1004.1,16.1,14.1,34.6,4.0,4.0,강원,고성,토성,11677471
352,0.1310282624064041,1.0,36.21900555555556,128.0063,18.0,6.5,55.0,0.0,1.0,2.0,2.0,34.0,26.1,1.8,43.0,1005.1,14.5,12.5,39.5,3.0,3.0,강원,인제,북,11166463
352,0.0392207131532812,2.0,37.36709444444445,127.21247222222225,17.9,10.1,49.0,0.0,1.0,2.0,1.0,11.0,24.2,2.3,62.0,1005.7,18.6,16.4,48.1,6.0,6.0,경기,파주,광탄,5794803
955,1.504077396776274,10.0,37.371875,128.65834722222223,16.1,12.2,45.0,0.0,1.0,2.0,1.0,11.0,18.5,5.7,43.0,926.5,9.1,5.6,27.2,0.0,0.0,경기,양평,개군,111503568
793,0.009950330853168,2.0,35.74879444444444,128.51207222222223,18.0,16.6,65.0,0.6,1.0,2.0,2.0,34.0,19.3,1.4,71.0,1010.1,15.9,13.9,25.5,4.0,0.0,경남,산청,신동,4082193
1000,0.7419373447293773,2.0,36.49571944444445,129.39701666666667,17.9,16.6,64.0,0.0,1.0,2.0,2.0,34.0,18.3,0.4,63.0,1010.7,13.2,11.1,15.8,7.0,0.0,대구,북,침산,54910754
757,0.5877866649021191,11.0,35.361219444444444,128.90074166666668,16.0,16.6,61.0,0.0,1.0,2.0,1.0,11.0,19.5,3.3,52.0,1007.1,11.7,9.3,16.4,4.0,0.0,경북,영양,일월,41891397
209,0.6931471805599453,2.0,35.885875,127.76030555555556,15.4,11.7,54.0,0.0,1.0,2.0,1.0,11.0,20.4,3.0,47.0,1008.5,11.2,8.6,20.8,6.0,0.0,충남,서천,마산,52056041
767,0.4054651081081644,2.0,34.934266666666666,127.62556388888888,14.9,15.1,74.0,0.0,1.0,2.0,2.0,34.0,22.6,4.9,42.0,1007.3,11.5,9.0,31.2,8.0,0.0,경기,남양주,진접,31223763
352,0.0198026272961797,2.0,37.33679166666667,127.18518333333334,16.3,17.3,43.0,0.0,1.0,2.0,2.0,30.0,26.0,3.3,31.0,1007.1,10.4,7.5,47.1,7.0,0.0,경기,남양주,진접,4658651
493,6.5755081042034815,54.0,38.04270277777778,128.01122222222222,14.8,18.7,53.0,0.0,1.0,2.0,1.0,11.0,13.747929869032532,2.8929839391377854,36.94338825517533,1000.5656738487536,6.483903675538657,-2.145099281791297,20.881297548605243,2.8704119850187264,1.2687422166874225,경북,영덕,영해,472232979
781,1.252762968495368,4.0,35.789877777777775,129.46768333333333,17.7,12.6,47.0,0.0,1.0,1.0,2.0,36.0,26.5,3.4,25.0,1009.1,8.6,4.8,38.6,7.0,0.0,충남,청양,목,92799161
987,0.009950330853168,1.0,35.72878055555556,127.95608611111112,15.4,11.7,54.0,0.0,1.0,2.0,1.0,11.0,22.8,2.3,49.0,1005.8,13.6,11.5,33.6,7.0,0.0,경남,하동,횡천,4082193
270,0.0198026272961797,1.0,37.42829166666667,126.8886138888889,15.9,18.7,44.0,0.0,1.0,2.0,2.0,34.0,23.3,3.9,28.0,1006.1,8.0,3.7,37.1,0.0,0.0,경기,고양,덕양,4658651
352,0.0198026272961797,1.0,37.47958888888889,127.31173055555556,16.3,17.3,43.0,0.0,1.0,2.0,2.0,30.0,25.2,2.3,31.0,1008.2,9.9,6.8,48.4,6.0,0.0,경기,남양주,와부,4658651
352,0.8064758658669484,7.0,37.89190833333333,127.01279444444444,15.4,20.2,47.0,0.0,1.0,2.0,2.0,34.0,24.7,3.2,22.0,1002.8,6.8,1.5,43.0,0.0,0.0,경기,연천,전곡,58686902
352,1.4586150226995167,3.0,38.13455277777778,127.66006111111112,14.5,16.6,51.0,0.0,1.0,2.0,2.0,30.0,21.8,5.6,11.0,928.0,2.9,-10.0,29.5,0.0,0.0,경기,동두천,안흥,104843564
352,0.0582689081239757,3.0,37.91681944444444,126.9734888888889,15.4,20.2,47.0,0.0,2.0,0.0,0.0,81.0,24.7,3.2,22.0,1002.8,6.8,1.5,43.0,0.0,0.0,전북,남원,아영,6909313
767,0.0295588022415443,1.0,37.58681388888889,126.86288333333331,15.9,18.7,44.0,0.0,1.0,2.0,2.0,30.0,20.7,3.8,38.0,1008.6,9.2,5.8,31.0,0.0,0.0,경기,포천,관인,5229485
939,0.6626879730752367,2.0,38.18194722222222,128.4960611111111,17.5,22.0,44.0,0.0,1.0,2.0,2.0,34.0,23.4,2.5,37.0,1010.8,10.6,7.9,37.6,5.0,0.0,전남,장흥,부산,50273873
352,2.6390573296152584,28.0,38.21087222222223,128.1348166666667,14.8,18.7,53.0,0.0,1.0,2.0,2.0,34.0,20.7,7.2,14.0,928.6,3.4,-7.7,28.0,0.0,0.0,충남,서산,운산,189911244
514,0.0769610411361283,2.0,37.78650555555556,126.93801666666668,15.9,18.0,44.0,0.0,1.0,2.0,1.0,11.0,23.1,2.6,27.0,1004.3,7.6,3.0,35.6,0.0,0.0,경북,봉화,석포,8002990
573,0.048790164169432,1.0,37.44873055555555,127.524975,16.8,15.8,48.0,0.0,1.0,2.0,2.0,34.0,17.8,0.8,48.0,1014.1,9.7,6.6,32.7,0.0,0.0,전북,남원,산내,6354712
352,0.9932517730102832,3.0,35.44819722222222,127.98675833333331,15.6,11.2,56.0,0.0,1.0,1.0,2.0,49.0,12.9,0.8,69.0,1011.8,10.2,7.3,10.5,0.0,0.0,전남,보성,보성,73615161
