발생원인_기타,피해면적_합계,화재시간,latitude ,longitude,기온,풍속,습도,강수량,임목존재코드,임종코드,임상코드,수종그룹코드,ta,ws,hm,pa,pv,td,ts,dc10Tca,dc10LmcsCa,시도,시군구,읍면동리,피해금액
573,0.1823215567939546,2.0,36.74400277777778,129.34604166666668,3.3,23.0,48.0,0.04,1.0,2.0,3.0,77.0,7.5,6.2,23.0,1001.5,2.4,-12.3,10.6,0.0,0.0,경북,울진,온정,14167634
715,0.0198026272961797,1.0,37.33679166666667,127.18518333333334,7.3,5.0,48.0,0.0,1.0,2.0,2.0,34.0,11.4,1.4,43.0,1015.4,5.8,-0.7,14.6,1.0,0.0,경기,용인,처인,4658651
1059,0.7466879474879752,4.0,36.436475,128.4845722222222,4.7,16.2,60.0,0.0,1.0,2.0,1.0,11.0,12.1,3.3,31.0,1014.6,4.4,-4.5,17.4,0.0,0.0,경북,의성,안사,55188711
715,0.0295588022415443,1.0,37.838550000000005,127.51840555555556,1.7,4.7,62.0,0.0,1.0,2.0,1.0,11.0,4.8,3.2,58.0,936.4,5.0,-2.7,5.8,9.0,9.0,경기,가평,북,5229485
885,0.262364264467491,4.0,35.76387777777778,127.82471388888888,2.5,12.2,42.0,0.0,1.0,2.0,1.0,11.0,10.0,3.3,43.0,1018.5,5.3,-2.0,13.5,0.0,0.0,경남,거창,북상,18850933
276,0.0295588022415443,1.0,37.12663611111111,128.05471111111112,2.4,13.0,40.0,0.0,1.0,2.0,2.0,34.0,3.5,3.9,22.0,1026.6,1.7,-16.2,12.2,0.0,0.0,충북,제천,백운,5229485
418,0.6931471805599453,4.0,37.45729166666667,127.247375,14.9,9.7,80.0,7.55,1.0,2.0,2.0,34.0,14.3,0.5,76.0,1010.0,12.4,10.1,13.2,10.0,10.0,경기,광주,회덕,52056041
715,0.4700036292457355,4.0,37.59169722222222,127.26795555555556,16.8,7.9,65.0,0.0,1.0,2.0,3.0,77.0,20.9,2.8,54.0,1006.3,13.3,11.2,23.7,0.0,0.0,경기,남양주,와부,34999912
885,0.1823215567939546,1.0,36.49056111111111,127.02845277777776,13.0,11.2,68.0,0.0,1.0,2.0,2.0,32.0,15.1,1.5,58.0,1013.2,9.9,6.8,12.5,0.0,0.0,충남,공주,사곡,14167634
767,0.0953101798043248,1.0,37.48591388888889,127.49269166666669,12.8,10.8,64.0,0.0,1.0,2.0,2.0,34.0,19.3,2.6,30.0,1013.2,6.7,1.2,21.7,0.0,0.0,경기,양평,강상,9076598
